d,target_lambda,gamma_times_d,instance,m_q,m_budget_eps,lambda_max,A_max,max_abs_phi,certified,observed,floor,rounding_noise,above_floor,informative,holds,holds_strict,ratio,m_over_lambda
100,40.0,29.145733740690048,9,3,12,39.52972663667574,178.16481431168347,0.9419020284084586,309.53869254083037,0.6923880529370857,1.4654943925052066e-13,7.327471962526033e-14,True,True,True,True,447.0595516889382,0.07589225262227327
100,40.0,29.145733740690048,9,4,12,39.52972663667574,178.16481431168347,0.9419020284084586,133.86819322376903,0.344734695986637,1.4654943925052066e-13,7.327471962526033e-14,True,True,True,True,388.32236726458825,0.10118967016303103
100,40.0,29.145733740690048,9,7,12,39.52972663667574,178.16481431168347,0.9419020284084586,4.326533175214855,0.0071074107564131905,1.4654943925052066e-13,7.327471962526033e-14,True,True,True,True,608.7354908130106,0.1770819227853043
100,40.0,29.145733740690048,9,10,12,39.52972663667574,178.16481431168347,0.9419020284084586,0.036180815460065276,1.8987394001745983e-05,1.4654943925052066e-13,7.327471962526033e-14,True,True,True,True,1905.5177059441794,0.25297417540757755
100,40.0,29.145733740690048,9,15,12,39.52972663667574,178.16481431168347,0.9419020284084586,8.795590587293027e-07,3.3031473389844024e-11,1.4654943925052066e-13,7.327471962526033e-14,True,True,True,True,26627.908732637254,0.37946126311136635
100,40.0,29.145733740690048,9,22,12,39.52972663667574,178.16481431168347,0.9419020284084586,3.378107054323466e-15,2.919886554764162e-14,1.4654943925052066e-13,7.327471962526033e-14,False,False,True,False,0.11569309255565631,0.5565431858966706
100,40.0,29.145733740690048,9,33,12,39.52972663667574,178.16481431168347,0.9419020284084586,7.511378877117334e-32,1.9761969838327786e-14,1.4654943925052066e-13,7.327471962526033e-14,False,False,True,False,3.800926192362274e-18,0.834814778845006
100,40.0,29.145733740690048,9,49,12,39.52972663667574,178.16481431168347,0.9419020284084586,2.230717800858859e-61,7.704947790898586e-14,1.4654943925052066e-13,7.327471962526033e-14,False,False,True,False,2.895175751215184e-48,1.2395734594971302
100,40.0,29.145733740690048,10,2,13,42.50536165504904,147.64202367359934,0.9319247094995584,551.0846567519033,0.9193485526269041,1.5543122344752192e-13,7.771561172376096e-14,True,True,True,True,599.4295147115416,0.047052887497604154
100,40.0,29.145733740690048,10,3,13,42.50536165504904,147.64202367359934,0.9319247094995584,284.712330983317,0.7259535552535984,1.5543122344752192e-13,7.771561172376096e-14,True,True,True,True,392.19083496857866,0.07057933124640622
100,40.0,29.145733740690048,10,4,13,42.50536165504904,147.64202367359934,0.9319247094995584,128.75451755796408,0.38482190206438316,1.5543122344752192e-13,7.771561172376096e-14,True,True,True,True,334.5820933456709,0.09410577499520831
100,40.0,29.145733740690048,10,7,13,42.50536165504904,147.64202367359934,0.9319247094995584,5.0558415377677575,0.00931227334542295,1.5543122344752192e-13,7.771561172376096e-14,True,True,True,True,542.9223724680226,0.16468510624161453
100,40.0,29.145733740690048,10,10,13,42.50536165504904,147.64202367359934,0.9319247094995584,0.05529905666067603,2.5031141688613978e-05,1.5543122344752192e-13,7.771561172376096e-14,True,True,True,True,2209.2103248263,0.23526443748802076
100,40.0,29.145733740690048,10,15,13,42.50536165504904,147.64202367359934,0.9319247094995584,2.3295313526342614e-06,4.738585912544835e-11,1.5543122344752192e-13,7.771561172376096e-14,True,True,True,True,49160.897272477596,0.35289665623203115
100,40.0,29.145733740690048,10,22,13,42.50536165504904,147.64202367359934,0.9319247094995584,2.157287927650445e-14,3.141931159689193e-14,1.5543122344752192e-13,7.771561172376096e-14,False,False,True,False,0.6866120923743755,0.5175817624736456
100,40.0,29.145733740690048,10,33,13,42.50536165504904,147.64202367359934,0.9319247094995584,2.1269824825137284e-30,2.1316282072803006e-14,1.5543122344752192e-13,7.771561172376096e-14,False,False,True,False,9.978205745492083e-17,0.7763726437104684
100,40.0,29.145733740690048,10,49,13,42.50536165504904,147.64202367359934,0.9319247094995584,5.986676316239038e-59,8.115730310009894e-14,1.5543122344752192e-13,7.771561172376096e-14,False,False,True,False,7.37663289384457e-46,1.1527957436913017
100,40.0,29.145733740690048,11,2,13,41.25198606956631,180.51817460951364,0.6690025643123363,654.7035156072881,0.6599609826697883,1.1235457009206584e-13,5.617728504603292e-14,True,True,True,True,992.0336698675248,0.04848251419040166
100,40.0,29.145733740690048,11,3,13,41.25198606956631,180.51817460951364,0.6690025643123363,333.59677228962045,0.5230301530125131,1.1235457009206584e-13,5.617728504603292e-14,True,True,True,True,637.8155644912491,0.07272377128560249
100,40.0,29.145733740690048,11,4,13,41.25198606956631,180.51817460951364,0.6690025643123363,148.15616105587853,0.28043446018367457,1.1235457009206584e-13,5.617728504603292e-14,True,True,True,True,528.3093987766038,0.09696502838080331
100,40.0,29.145733740690048,11,7,13,41.25198606956631,180.51817460951364,0.6690025643123363,5.375791442550291,0.007451077753845903,1.1235457009206584e-13,5.617728504603292e-14,True,True,True,True,721.4783713370265,0.1696887996664058
100,40.0,29.145733740690048,11,10,13,41.25198606956631,180.51817460951364,0.6690025643123363,0.052712300220664386,2.539846859206385e-05,1.1235457009206584e-13,5.617728504603292e-14,True,True,True,True,2075.412540311,0.2424125709520083
100,40.0,29.145733740690048,11,15,13,41.25198606956631,180.51817460951364,0.6690025643123363,1.7737021595537276e-06,2.9852453842238447e-11,1.1235457009206584e-13,5.617728504603292e-14,True,True,True,True,59415.623550654454,0.36361885642801245
100,40.0,29.145733740690048,11,22,13,41.25198606956631,180.51817460951364,0.6690025643123363,1.1447810099219005e-14,2.3869795029440866e-14,1.1235457009206584e-13,5.617728504603292e-14,False,False,True,False,0.47959398415861315,0.5333076560944182
100,40.0,29.145733740690048,11,33,13,41.25198606956631,180.51817460951364,0.6690025643123363,6.1174557069781754e-31,1.5654144647214707e-14,1.1235457009206584e-13,5.617728504603292e-14,False,False,True,False,3.9078824457308404e-17,0.7999614841416274
100,40.0,29.145733740690048,11,49,13,41.25198606956631,180.51817460951364,0.6690025643123363,6.819262606470246e-60,5.88418203051333e-14,1.1235457009206584e-13,5.617728504603292e-14,False,False,True,False,1.1589142842807909e-46,1.1878215976648405
100,40.0,29.145733740690048,12,2,13,41.259689387766414,168.12031729529946,0.7779725405062186,609.8488250834968,0.7622402109525065,1.1879386363489175e-13,5.939693181744587e-14,True,True,True,True,800.0743286967513,0.04847346234731966
100,40.0,29.145733740690048,12,3,13,41.259689387766414,168.12031729529946,0.7779725405062186,310.768718267573,0.5751240078021809,1.1879386363489175e-13,5.939693181744587e-14,True,True,True,True,540.3508009605899,0.0727101935209795
100,40.0,29.145733740690048,12,4,13,41.259689387766414,168.12031729529946,0.7779725405062186,138.0335944708676,0.28683141727010497,1.1879386363489175e-13,5.939693181744587e-14,True,True,True,True,481.23596705197525,0.09694692469463932
100,40.0,29.145733740690048,12,7,13,41.259689387766414,168.12031729529946,0.7779725405062186,5.010995086361425,0.005772224926534952,1.1879386363489175e-13,5.939693181744587e-14,True,True,True,True,868.1219374050811,0.16965711821561882
100,40.0,29.145733740690048,12,10,13,41.259689387766414,168.12031729529946,0.7779725405062186,0.04916910466511738,1.3893187140734398e-05,1.1879386363489175e-13,5.939693181744587e-14,True,True,True,True,3539.080282086972,0.2423673117365983
100,40.0,29.145733740690048,12,15,13,41.259689387766414,168.12031729529946,0.7779725405062186,1.6568136670881066e-06,1.7557622022934538e-11,1.1879386363489175e-13,5.939693181744587e-14,True,True,True,True,94364.35440539179,0.36355096760489747
100,40.0,29.145733740690048,12,22,13,41.259689387766414,168.12031729529946,0.7779725405062186,1.0717592750697292e-14,2.4091839634365897e-14,1.1879386363489175e-13,5.939693181744587e-14,False,False,True,False,0.4448640250539083,0.5332080858205163
100,40.0,29.145733740690048,12,33,13,41.259689387766414,168.12031729529946,0.7779725405062186,5.749213087222773e-31,1.5987211554602254e-14,1.1879386363489175e-13,5.939693181744587e-14,False,False,True,False,3.596132488512508e-17,0.7998121287307745
100,40.0,29.145733740690048,12,49,13,41.259689387766414,168.12031729529946,0.7779725405062186,6.445948028839536e-60,6.283862319378386e-14,1.1879386363489175e-13,5.939693181744587e-14,False,False,True,False,1.0257939625700112e-46,1.1875998275093318
100,40.0,29.145733740690048,13,2,12,39.53598329061773,162.2486296339336,0.7022114723731333,564.6467775937716,0.6920504874807187,1.156852391659413e-13,5.784261958297066e-14,True,True,True,True,815.9040240680464,0.05058682834061748
